CMC_id,CMC_rank,name,ticker,source_code,mod_source,type,forge,repo,notes,stars
1,1,Bitcoin,BTC,https://github.com/bitcoin/bitcoin,y,,github,bitcoin/bitcoin,,53646
1027,2,Ethereum,ETH,https://github.com/ethereum/go-ethereum,y,,github,ethereum/go-ethereum,,30598
1839,3,Binance Coin,BNB,https://github.com/binance-chain/bsc,y,,github,binance-chain/bsc,fork of go-ethereum,55
825,4,Tether,USDT,private,y,,private,,,
2010,5,Cardano,ADA,https://github.com/input-output-hk/cardano-node,y,,github,input-output-hk/cardano-node,IOHK,357
6636,6,Polkadot,DOT,https://github.com/paritytech/polkadot,y,,github,paritytech/polkadot,See Substrate for pre 2018 repo history,2242
52,7,XRP,XRP,https://github.com/ripple/rippled,y,,github,ripple/rippled,,4135
7083,8,Uniswap,UNI,https://github.com/Uniswap/uniswap-v2-core,y,,github,Uniswap/uniswap-v2-core,,592
2,9,Litecoin,LTC,https://github.com/litecoin-project/litecoin,,,github,litecoin-project/litecoin,,4252
1975,10,Chainlink,LINK,https://github.com/smartcontractkit/chainlink,,,github,smartcontractkit/chainlink,,1601
1831,11,Bitcoin Cash,BCH,https://gitlab.com/bitcoin-cash-node/bitcoin-cash-node,y,,gitlab,bitcoin-cash-node/bitcoin-cash-node,,
3408,12,USD Coin,USDC,https://github.com/centrehq/centre-tokens,,SC,github,centrehq/centre-tokens,,162
512,13,Stellar,XLM,https://github.com/stellar/stellar-core,y,,github,stellar/stellar-core,,2785
3717,14,Wrapped Bitcoin,WBTC,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,,wToken,github,WrappedBTC/bitcoin-token-smart-contracts,,41
74,15,Dogecoin,DOGE,https://github.com/dogecoin/dogecoin,,,github,dogecoin/dogecoin,,2721
2416,16,THETA,THETA,https://github.com/thetatoken/theta-protocol-ledger,y,,github,thetatoken/theta-protocol-ledger,,138
4172,17,Terra,LUNA,https://github.com/terra-project/core,y,,github,terra-project/core,,163
4066,18,Chiliz,CHZ,private,y,,private,,,
7278,19,Aave,AAVE,https://github.com/aave/aave-protocol,y,,github,aave/aave-protocol,,363
3635,20,Crypto.com Coin,CRO,private,y,,private,,,
3077,21,VeChain,VET,https://github.com/vechain/thor,y,,github,vechain/thor,,484
328,22,Monero,XMR,https://github.com/monero-project/monero,,,github,monero-project/monero,,5087
3794,23,Cosmos,ATOM,https://github.com/cosmos/cosmos-sdk,y,,github,cosmos/cosmos-sdk,,2003
5426,24,Solana,SOL,https://github.com/solana-labs/solana,y,,github,solana-labs/solana,,1098
1720,25,IOTA,MIOTA,https://github.com/iotaledger/iota.js,y,,github,iotaledger/iota.js,,245
1765,26,EOS,EOS,https://github.com/EOSIO/eos,y,,github,EOSIO/eos,,12517
3602,27,Bitcoin SV,BSV,https://github.com/bitcoin-sv/bitcoin-sv,,,github,bitcoin-sv/bitcoin-sv,,470
1958,28,TRON,TRX,https://github.com/tronprotocol/java-tron,y,,github,tronprotocol/java-tron,,2927
5805,29,Avalanche,AVAX,https://github.com/ava-labs/avalanchego,y,,github,ava-labs/avalanchego,,81
4195,30,FTX Token,FTT,private,y,,private,,,
873,31,NEM,XEM,https://github.com/nemtech/catapult-server,y,,github,nemtech/catapult-server,,115
4687,32,Binance USD,BUSD,https://github.com/paxosglobal/busd-contract,,SC,github,paxosglobal/busd-contract,,9
2011,33,Tezos,XTZ,https://gitlab.com/tezos/tezos,,,gitlab,tezos/tezos,,
6758,34,SushiSwap,SUSHI,https://github.com/sushiswap/sushiswap,,,github,sushiswap/sushiswap,,613
